ALDER;KØN;TID;INDHOLD
41;K;2020;35548
42;M;2020;35440
42;K;2020;35315
43;M;2020;36910
43;K;2020;36466
44;M;2020;39408
44;K;2020;39739
45;M;2020;38932
45;K;2020;38986
46;M;2020;38709
46;K;2020;38742
47;M;2020;40308
47;K;2020;40482
48;M;2020;40095
48;K;2020;39494
49;M;2020;38101
49;K;2020;38040
50;M;2020;38111
50;K;2020;37517
51;M;2020;39539
51;K;2020;38723
52;M;2020;41893
52;K;2020;41382
53;M;2020;44836
53;K;2020;44070
54;M;2020;43154
54;K;2020;42681
55;M;2020;42118
55;K;2020;41290
56;M;2020;40823
56;K;2020;40491
57;M;2020;38273
57;K;2020;38166
58;M;2020;36902
58;K;2020;37049
59;M;2020;36703
59;K;2020;36723
60;M;2020;34730
60;K;2020;35205
61;M;2020;34694
61;K;2020;35175
62;M;2020;34149
62;K;2020;34667
63;M;2020;33927
63;K;2020;34765
64;M;2020;33161
64;K;2020;33898
65;M;2020;31825
65;K;2020;33384
66;M;2020;32169
66;K;2020;33442
67;M;2020;31049
67;K;2020;32538
68;M;2020;30315
68;K;2020;31546
69;M;2020;30376
69;K;2020;32631
70;M;2020;29697
70;K;2020;32108
71;M;2020;30993
71;K;2020;33197
72;M;2020;32285
72;K;2020;34751
73;M;2020;32812
73;K;2020;34931
74;M;2020;30676
74;K;2020;33104
75;M;2020;27805
75;K;2020;30973
76;M;2020;24623
76;K;2020;28155
77;M;2020;22530
77;K;2020;25724
78;M;2020;19073
78;K;2020;22295
79;M;2020;17582
79;K;2020;21076
80;M;2020;15901
80;K;2020;19331
81;M;2020;14712
81;K;2020;18281
82;M;2020;12955
82;K;2020;17030
83;M;2020;11435
83;K;2020;15148
84;M;2020;9753
84;K;2020;13417
85;M;2020;8428
85;K;2020;12276
86;M;2020;7180
86;K;2020;10783
87;M;2020;6027
87;K;2020;9620
88;M;2020;4999
88;K;2020;8432
89;M;2020;4128
89;K;2020;7462
90;M;2020;3353
90;K;2020;6364
91;M;2020;2697
91;K;2020;5671
92;M;2020;2034
92;K;2020;4667
93;M;2020;1604
93;K;2020;4001
94;M;2020;1134
94;K;2020;3189
95;M;2020;776
95;K;2020;2489
96;M;2020;505
96;K;2020;1817
97;M;2020;326
97;K;2020;1252
98;M;2020;229
98;K;2020;964
99;M;2020;139
99;K;2020;683
100;M;2020;86
100;K;2020;404
101;M;2020;50
101;K;2020;240
102;M;2020;13
102;K;2020;121
103;M;2020;15
103;K;2020;93
104;M;2020;4
104;K;2020;50
105;M;2020;3
105;K;2020;27
106;M;2020;3
106;K;2020;15
107;M;2020;2
107;K;2020;6
108;M;2020;0
108;K;2020;0
109;M;2020;0
109;K;2020;1
110;M;2020;0
110;K;2020;0
111;M;2020;0
111;K;2020;1
112;M;2020;0
112;K;2020;0
113;M;2020;0
113;K;2020;0
114;M;2020;0
114;K;2020;0
115;M;2020;0
115;K;2020;0
116;M;2020;0
116;K;2020;0
117;M;2020;0
117;K;2020;0
118;M;2020;0
118;K;2020;0
119;M;2020;0
119;K;2020;0
120;M;2020;0
120;K;2020;0
121;M;2020;0
121;K;2020;0
122;M;2020;0
122;K;2020;0
123;M;2020;0
123;K;2020;0
124;M;2020;0
124;K;2020;0
125;M;2020;0
125;K;2020;0
